北京卫视,rtp//:225.1.8.21:8002$北京电信
卡酷少儿,rtp//:225.1.8.35:8000$北京电信
CCTV1,rtp//:225.1.8.1:8008$北京电信
CCTV2,rtp//:225.1.8.2:8084$北京电信
CCTV3,rtp//:225.1.8.88:8000$北京电信
CCTV4,rtp//:225.1.8.4:8092$北京电信
CCTV5,rtp//:225.1.8.89:8000$北京电信
CCTV5+,rtp//:225.1.8.20:8004$北京电信
CCTV6,rtp//:225.1.8.84:8000$北京电信
CCTV7,rtp//:225.1.8.7:8104$北京电信
CCTV8,rtp//:225.1.8.85:8000$北京电信
CCTV9,rtp//:225.1.8.9:8112$北京电信
CCTV10,rtp//:225.1.8.10:8116$北京电信
CCTV11,rtp//:225.1.8.73:8120$北京电信
CCTV12,rtp//:225.1.8.12:8124$北京电信
CCTV13,rtp//:225.1.8.168:8130$北京电信
CCTV14,rtp//:225.1.8.14:8132$北京电信
CCTV15,rtp//:225.1.8.74:8136$北京电信
CCTV17,rtp//:225.1.8.17:8144$北京电信
CETV1,rtp//:225.1.8.32:8152$北京电信
湖南卫视,rtp//:225.1.8.41:8012$北京电信
黑龙江卫视,rtp//:225.1.8.42:8016$北京电信
深圳卫视,rtp//:225.1.8.43:8020$北京电信
江苏卫视,rtp//:225.1.8.44:8028$北京电信
东方卫视,rtp//:225.1.8.45:8032$北京电信
浙江卫视,rtp//:225.1.8.46:8036$北京电信
湖北卫视,rtp//:225.1.8.47:8044$北京电信
天津卫视,rtp//:225.1.8.48:8044$北京电信
广东卫视,rtp//:225.1.8.49:8048$北京电信
山东卫视,rtp//:225.1.8.50:8052$北京电信
辽宁卫视,rtp//:225.1.8.51:8056$北京电信
安徽卫视,rtp//:225.1.8.52:8064$北京电信
河北卫视,rtp//:225.1.8.76:8002$北京电信
贵州卫视,rtp//:225.1.8.77:8076$北京电信
东南卫视,rtp//:225.1.8.79:8148$北京电信
江西卫视,rtp//:225.1.8.171:8166$北京电信
重庆卫视,rtp//:225.1.8.172:8162$北京电信
三沙卫视,rtp//:225.1.8.78:4120$北京电信
金鹰纪实,rtp//:225.1.8.31:8156$北京电信
纪实人文,rtp//:225.1.8.53:8060$北京电信
快乐垂钓,rtp//:225.1.8.71:8002$北京电信
茶频道,rtp//:225.1.8.72:8002$北京电信
北京IPTV淘精彩,rtp//:225.1.8.33:8002$北京电信
北京IPTV淘BABY,rtp//:225.1.8.36:8002$北京电信
北京IPTV淘剧场,rtp//:225.1.8.37:8002$北京电信
北京IPTV淘电影,rtp//:225.1.8.38:8002$北京电信
北京IPTV淘娱乐,rtp//:225.1.8.61:8002$北京电信
北京IPTV萌宠TV,rtp//:225.1.8.63:8002$北京电信
北京IPTV4K,rtp//:225.1.8.211:8002$北京电信
CGTN,rtp//:225.1.8.116:8056$北京电信
CETV1,rtp//:225.1.8.169:4120$北京电信
CETV2,rtp//:225.1.8.193:4120$北京电信
CETV3,rtp//:225.1.8.194:4120$北京电信
CETV4,rtp//:225.1.8.195:4120$北京电信
金鹰卡通,rtp//:225.1.8.163:9252$北京电信
嘉佳卡通,rtp//:225.1.8.170:9268$北京电信
